epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,759.889,1.49045,1.17672,0.01055,0.71172,0.55895,0.58989,0.37312,1.60933,1.59954,0.01083,0.00132868,0.00132868,0.00132868
43,778.236,1.45176,1.14048,0.01038,0.71692,0.53668,0.61136,0.37616,1.67241,1.58731,0.01126,0.00132043,0.00132043,0.00132043
44,796.045,1.40591,1.07229,0.00993,0.67327,0.58963,0.61791,0.39998,1.56169,1.53642,0.01028,0.00131218,0.00131218,0.00131218
45,813.807,1.43145,1.12095,0.00986,0.68251,0.5798,0.60916,0.38766,1.55779,1.60521,0.01011,0.00130393,0.00130393,0.00130393
46,831.524,1.41761,1.10214,0.00986,0.68272,0.59048,0.61075,0.37363,1.61743,1.57623,0.01106,0.00129568,0.00129568,0.00129568
47,849.145,1.37139,1.0675,0.01,0.68808,0.55834,0.60894,0.38546,1.62586,1.56387,0.01109,0.00128742,0.00128742,0.00128742
48,866.87,1.39254,1.07321,0.00996,0.65723,0.56245,0.59707,0.38257,1.57919,1.60465,0.01081,0.00127917,0.00127917,0.00127917
49,885.301,1.40262,1.06029,0.01001,0.68617,0.59144,0.63198,0.41308,1.56051,1.4965,0.01035,0.00127092,0.00127092,0.00127092
50,903.123,1.40965,1.07749,0.00955,0.68646,0.57009,0.61988,0.39099,1.60806,1.58123,0.0112,0.00126267,0.00126267,0.00126267
51,920.681,1.38852,1.04308,0.00906,0.64362,0.5589,0.59264,0.35802,1.65464,1.7009,0.01153,0.00125442,0.00125442,0.00125442
52,938.409,1.41601,1.06836,0.01008,0.62338,0.5644,0.58008,0.36965,1.61076,1.67406,0.01099,0.00124617,0.00124617,0.00124617
53,955.985,1.36429,1.04863,0.00934,0.69438,0.53401,0.58369,0.36788,1.63814,1.70247,0.01128,0.00123791,0.00123791,0.00123791
54,973.793,1.33259,1.01886,0.00944,0.66282,0.60138,0.61233,0.37283,1.63993,1.58402,0.01148,0.00122966,0.00122966,0.00122966
55,991.608,1.38371,1.03629,0.00941,0.70347,0.52565,0.57192,0.3606,1.6467,1.75401,0.0112,0.00122141,0.00122141,0.00122141
56,1009.74,1.35968,1.0286,0.00937,0.70906,0.52417,0.58722,0.38341,1.59774,1.65789,0.0107,0.00121316,0.00121316,0.00121316
57,1027.55,1.37261,1.04882,0.00944,0.72953,0.53886,0.59644,0.37911,1.59497,1.72442,0.01066,0.00120491,0.00120491,0.00120491
58,1045.11,1.38511,1.07842,0.00985,0.67995,0.55333,0.57848,0.37352,1.60327,1.59996,0.01081,0.00119666,0.00119666,0.00119666
59,1062.77,1.37907,1.0344,0.00953,0.71402,0.52905,0.5805,0.35424,1.71012,1.66391,0.01181,0.0011884,0.0011884,0.0011884
60,1080.33,1.31375,0.98566,0.00946,0.64799,0.57688,0.60115,0.37898,1.60479,1.61726,0.01114,0.00118015,0.00118015,0.00118015
61,1098.19,1.32472,0.96822,0.0085,0.64346,0.56991,0.58987,0.37458,1.63684,1.68176,0.01129,0.0011719,0.0011719,0.0011719
62,1115.78,1.34425,0.97919,0.00921,0.70736,0.51703,0.58153,0.37267,1.61352,1.63681,0.01089,0.00116365,0.00116365,0.00116365
63,1133.95,1.37093,1.00037,0.0095,0.65191,0.58678,0.59813,0.38126,1.57437,1.68007,0.01072,0.0011554,0.0011554,0.0011554
64,1151.54,1.28381,0.94996,0.00882,0.68746,0.55564,0.60606,0.40215,1.56442,1.60242,0.01019,0.00114715,0.00114715,0.00114715
65,1169.18,1.32977,0.97453,0.00894,0.7181,0.55634,0.59931,0.39497,1.58018,1.67612,0.01063,0.00113889,0.00113889,0.00113889
66,1186.85,1.33426,0.96155,0.00875,0.71229,0.56491,0.61366,0.40648,1.56931,1.55037,0.01005,0.00113064,0.00113064,0.00113064
67,1204.4,1.30523,0.92262,0.00884,0.70771,0.55205,0.58766,0.38252,1.61151,1.64613,0.01047,0.00112239,0.00112239,0.00112239
